Name,Pos,Date,Salary,Starter,Team,FPTS,Value,Home,W,W_PTS,L,L_PTS,MP,FG,FGA,FG_perc,3P,3PA,3P_perc,FT,FTA,FT_perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,DD,TD,USG_perc,DRtg,ORtg,AST_perc,DRB_perc,ORB_perc,BLK_perc,TOV_perc,STL_perc,eFG_perc
Marvin Williams,SF/PF,20181017,4300.0,1,CHO,25.75,5.988372093023256,1,MIL,113,CHO,112,25.85,2,7,0.28600000000000003,1,6,0.16699999999999998,0,2,0.0,1,8,9,1,0,4,1,2,5,0,0,14.6,102.0,69.0,5.0,34.5,3.4,14.6,11.3,0.0,0.35700000000000004
Michael Kidd-Gilchrist,SF/PF,20181017,3700.0,0,CHO,20.5,5.54054054054054,1,MIL,113,CHO,112,21.63,3,6,0.5,0,0,0.0,4,6,0.667,3,3,6,1,0,1,1,3,10,0,0,19.0,113.0,123.0,6.5,15.5,12.1,4.4,10.4,0.0,0.5
Jeremy Lamb,SG/SF,20181017,5700.0,1,CHO,17.0,2.982456140350877,1,MIL,113,CHO,112,20.8,4,11,0.364,2,4,0.5,0,0,0.0,2,0,2,1,1,0,0,2,10,0,0,22.5,114.0,104.0,7.3,0.0,8.4,0.0,0.0,2.3,0.455
Miles Bridges,SF/PF,20181017,4500.0,0,CHO,2.0,0.4444444444444444,1,MIL,113,CHO,112,14.5,0,1,0.0,0,1,0.0,1,2,0.5,0,0,0,1,0,0,1,2,1,0,0,8.5,119.0,54.0,8.1,0.0,0.0,0.0,34.7,0.0,0.0
Cody Zeller,C,20181017,4100.0,1,CHO,12.75,3.1097560975609757,1,MIL,113,CHO,112,21.1,1,1,1.0,1,1,1.0,2,2,1.0,0,3,3,1,1,0,0,3,5,0,0,3.8,110.0,266.0,5.9,15.9,0.0,0.0,0.0,2.2,1.5
Bismack Biyombo,C,20181017,3000.0,0,CHO,0.0,0.0,1,MIL,113,CHO,112,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frank Kaminsky,PF/C,20181017,3600.0,0,CHO,0.0,0.0,1,MIL,113,CHO,112,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
George Hill,PG/SG,20181017,4500.0,1,CLE,28.5,6.333333333333333,0,TOR,116,CLE,104,31.45,5,11,0.455,2,3,0.667,3,4,0.75,1,1,2,7,0,0,1,3,15,0,0,17.8,120.0,132.0,40.5,3.5,3.1,0.0,7.3,0.0,0.545
Jordan Clarkson,PG/SG,20181017,5100.0,0,CLE,19.25,3.774509803921569,0,TOR,116,CLE,104,23.15,7,15,0.467,1,4,0.25,0,0,0.0,0,3,3,0,0,0,0,3,15,0,0,26.3,118.0,105.0,0.0,14.5,0.0,0.0,0.0,0.0,0.5
Collin Sexton,PG,20181017,5600.0,0,CLE,10.75,1.9196428571428572,0,TOR,116,CLE,104,17.72,2,7,0.28600000000000003,0,1,0.0,5,5,1.0,1,2,3,0,0,0,4,4,9,0,0,30.3,118.0,76.0,0.0,12.6,5.5,0.0,30.3,0.0,0.28600000000000003
Cedi Osman,SF,20181017,4200.0,1,CLE,40.5,9.642857142857142,0,TOR,116,CLE,104,33.08,5,10,0.5,2,2,1.0,5,6,0.833,3,7,10,4,2,0,3,1,17,1,0,19.2,110.0,124.0,21.7,23.6,8.9,0.0,19.2,2.9,0.6
Rodney Hood,SG/SF,20181017,4900.0,1,CLE,18.0,3.6734693877551017,0,TOR,116,CLE,104,26.32,5,13,0.385,0,2,0.0,2,2,1.0,1,1,2,1,1,0,0,3,12,0,0,21.4,116.0,102.0,7.3,4.2,3.7,0.0,0.0,1.8,0.385
Sam Dekker,SF/PF,20181017,3200.0,0,CLE,13.0,4.0625,0,TOR,116,CLE,104,16.27,1,2,0.5,0,1,0.0,2,4,0.5,1,5,6,0,1,0,1,1,4,0,0,11.9,108.0,94.0,0.0,34.3,6.0,0.0,21.0,2.9,0.5
